asset,intrinsic,kb,slot,required,routes,components,alt,code
src/assets/ai/collab.jpg,1024x1024,124,Card / section cover,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,NEVO engineering team reviewing a project,src={collab}
src/assets/ai/digital-twin.jpg,1024x1024,103,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: digitalTwin, title: ""Digital Twin & 3D Factory Visualization"" },"
src/assets/ai/drawings-review.jpg,1024x1024,101,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: drawingsReview, title: ""Engineering Drawings Review"" },"
src/assets/ai/eco-engineering-consultancy.jpg,1024x1024,121,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: ecoConsult, title: ""Engineering Consultancy"", href: ""/solutions/engineering-consultancy"" },"
src/assets/ai/eco-factory-development.jpg,1024x1024,186,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: ecoFactory, title: ""Factory Development"", href: ""/about"" },"
src/assets/ai/eco-finished-panels.jpg,1024x1024,223,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: ecoPanels, title: ""Finished Sandwich Panels"", href: ""/solutions/sandwich-panels"" },"
src/assets/ai/eco-knowledge-hub.jpg,1024x1024,121,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: ecoKnowledge, title: ""Knowledge Hub"", href: ""/knowledge-hub"" },"
src/assets/ai/eco-production-lines.jpg,1024x1024,183,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: ecoLines, title: ""Production Lines"", href: ""/solutions/production-lines"" },"
src/assets/ai/eco-project-inquiry.jpg,1024x1024,113,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: ecoInquiry, title: ""Project Inquiry Center"", href: ""/project-inquiry"" },"
src/assets/ai/eco-raw-materials.jpg,1024x1024,136,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: ecoMaterials, title: ""Raw Materials"", href: ""/solutions/raw-materials"" },"
src/assets/ai/hero-engineer.jpg,1024x1024,97,Full-bleed hero,"2400x1200 (2:1), safe centre crop",/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,NEVO AI Engineer — engineer reviewing holographic factory model,src={heroEngineer}
src/assets/ai/live-consultation.jpg,1024x1024,101,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: liveConsult, title: ""Live Engineering Consultation"" },"
src/assets/ai/technical-proposal.jpg,1024x1024,98,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: techProposal, title: ""Technical Proposal Generation"" },"
src/assets/ai/whatsapp-support.jpg,1024x1024,98,Inline illustration / card,1600x900 (16:9),/$lang/ai-assistant,src/routes/$lang.ai-assistant.tsx,,"{ img: whatsappSupport, title: ""24/7 WhatsApp Engineering Support"" },"
src/assets/configurator/context-cleanroom.jpg,1024x1024,81,Inline illustration / card,1600x900 (16:9),/$lang/product-configurator,src/routes/$lang.product-configurator.tsx,,"cleanroom: ctxCleanroom,"
src/assets/configurator/context-coldroom.jpg,1024x1024,67,Inline illustration / card,1600x900 (16:9),/$lang/product-configurator,src/routes/$lang.product-configurator.tsx,,"coldroom: ctxColdroom,"
